V1	V2	V3	V4	V5	V6
8.07	5.970987	11.017059	8.743394	21.96693	8.042317
15.27	6.461611	13.616441	12.175703	27.81209	16.433737
14.01	5.285901	11.405787	14.653395	25.64709	14.220644
19.62	12.358145	12.259198	11.644836	24.86780	15.182464
14.44	5.481248	10.114677	13.786111	29.32942	13.373899
20.64	7.301472	14.915295	12.263737	41.64798	10.087821
22.32	8.692885	29.806366	35.089339	76.61629	17.354146
14.63	4.871208	10.484342	11.099068	23.68046	13.150425
16.93	7.530282	15.000322	17.813056	22.80282	15.435333
20.57	7.705408	11.385662	13.428581	26.85549	11.643782
22.8	7.425783	12.331661	10.389722	30.27174	10.545358
31.91	11.312233	8.025659	7.214854	32.31133	10.224897
20.4	5.757407	10.291921	13.696871	36.71937	10.203977
21.74	4.402312	8.300861	11.162759	23.05242	10.069811
22.11	7.342684	10.119238	13.001236	33.82878	15.801122
20.97	13.543924	9.280538	20.123571	38.72728	14.833905
18.43	3.876301	12.015248	8.577316	38.21763	13.068243
178.95	1.731386	38.225392	30.083392	124.9585	8.529238
20.12	10.663123	9.312458	8.410243	37.83674	9.448246
